07:28:56 [INFO] Found netvar: m_iClip1 => 0x3274
07:28:56 [INFO] Found netvar: m_zoomLevel => 0x33E0
07:28:56 [INFO] Found netvar: m_iCompetitiveRanking => 0x1A84
07:28:56 [INFO] Found netvar: m_iCompetitiveWins => 0x1B88
07:28:56 [INFO] Found netvar: m_iCrosshairId => 0x117DC
07:28:56 [INFO] Found netvar: m_iEntityQuality => 0x2FBC
07:28:56 [INFO] Found netvar: m_iFOVStart => 0x31F8
07:28:56 [INFO] Found netvar: m_iGlowIndex => 0x10470
07:28:56 [INFO] Found netvar: m_iHealth => 0x100
07:28:56 [INFO] Found netvar: m_iItemDefinitionIndex => 0x2FBA
07:28:56 [INFO] Found netvar: m_iItemIDHigh => 0x2FD0
07:28:56 [INFO] Found netvar: m_iObserverMode => 0x3388
07:28:56 [INFO] Found netvar: m_iShotsFired => 0x103E0
07:28:56 [INFO] Found netvar: m_iState => 0x3268
07:28:56 [INFO] Found netvar: m_iTeamNum => 0xF4
07:28:56 [INFO] Found netvar: m_lifeState => 0x25F
07:28:56 [INFO] Found netvar: m_nFallbackPaintKit => 0x31D8
07:28:56 [INFO] Found netvar: m_nFallbackSeed => 0x31DC
07:28:56 [INFO] Found netvar: m_nFallbackStatTrak => 0x31E4
07:28:56 [INFO] Found netvar: m_iDefaultFOV => 0x333C
07:28:56 [INFO] Found netvar: m_iFOV => 0x31F4
07:28:56 [INFO] Found netvar: m_nForceBone => 0x268C
07:28:56 [INFO] Found netvar: m_nTickBase => 0x3440
07:28:56 [INFO] Found netvar: m_rgflCoordinateFrame => 0x474
07:28:56 [INFO] Found netvar: m_szCustomName => 0x304C
07:28:56 [INFO] Found netvar: m_szLastPlaceName => 0x35C4
07:28:56 [INFO] Found netvar: m_vecOrigin => 0x138
07:28:56 [INFO] Found netvar: m_vecVelocity => 0x114
07:28:56 [INFO] Found netvar: m_vecViewOffset => 0x108
07:28:56 [INFO] Found netvar: m_viewPunchAngle => 0x3030
07:28:56 [INFO] Found netvar: m_thirdPersonViewAngles => 0x31E4
07:28:56 [INFO] Found netvar: m_clrRender => 0x70
07:28:56 [INFO] Found netvar: m_bBombTicking => 0x2990
07:28:56 [INFO] Found netvar: m_bBombDefused => 0x29C0
07:28:56 [INFO] Found netvar: m_flC4Blow => 0x29A0
07:28:56 [INFO] Found netvar: m_hBombDefuser => 0x29C4
07:28:56 [INFO] Found netvar: m_flTimerLength => 0x29A4
07:28:56 [INFO] Found netvar: m_flDefuseLength => 0x29B8
07:28:56 [INFO] Found netvar: m_flDefuseCountDown => 0x29BC
07:28:56 [INFO] Found netvar: m_nBombSite => 0x2994
07:28:56 [INFO] Found netvar: cs_gamerules_data => 0x0
07:28:56 [INFO] Found netvar: m_SurvivalRules => 0xD00
